Date,Pos_lag1,Pos_lag2,Pos_lag3,Neg_lag1,Neg_lag2,Neg_lag3,Neu_lag1,Neu_lag2,Neu_lag3
2015-09-02,-0.7195338,-0.6247976,0.30110618,0.8651396,0.34129304,-1.3327988,0.4668693,0.81291735,1.3062531
2015-09-03,-0.9864698,-0.7195338,-0.6247976,0.8741028,0.8651396,0.34129304,0.8594857,0.4668693,0.81291735
2015-09-04,-1.2857008,-0.9864698,-0.7195338,1.9804844,0.8741028,0.8651396,0.19157444,0.8594857,0.4668693
2015-09-05,-1.0347546,-1.2857008,-0.9864698,0.8354805,1.9804844,0.8741028,0.53572863,0.19157444,0.8594857
2015-09-06,-0.17616695,-1.0347546,-1.2857008,-0.24555218,0.8354805,1.9804844,0.603421,0.53572863,0.19157444
2015-09-07,-0.54279494,-0.17616695,-1.0347546,-0.6893286,-0.24555218,0.8354805,1.7687767,0.603421,0.53572863
2015-09-08,-0.19294398,-0.54279494,-0.17616695,-0.7377955,-0.6893286,-0.24555218,1.2761503,1.7687767,0.603421
2015-09-09,-1.291817,-0.19294398,-0.54279494,0.99535507,-0.7377955,-0.6893286,1.1661211,1.2761503,1.7687767
2015-09-10,-0.63682675,-1.291817,-0.19294398,0.72168297,0.99535507,-0.7377955,0.37825587,1.1661211,1.2761503
2015-09-11,-0.8755849,-0.63682675,-1.291817,1.2745622,0.72168297,0.99535507,0.09614341,0.37825587,1.1661211
2015-09-12,-1.0122321,-0.8755849,-0.63682675,0.98699975,1.2745622,0.72168297,0.77043486,0.09614341,0.37825587
2015-09-13,-1.0946096,-1.0122321,-0.8755849,0.37981376,0.98699975,1.2745622,1.5573933,0.77043486,0.09614341
2015-09-14,-1.1411929,-1.0946096,-1.0122321,1.2679014,0.37981376,0.98699975,0.38201573,1.5573933,0.77043486
2015-09-15,-0.22912517,-1.1411929,-1.0946096,-0.37297988,1.2679014,0.37981376,0.93839943,0.38201573,1.5573933
2015-09-16,-1.3610673,-0.22912517,-1.1411929,1.6233561,-0.37297988,1.2679014,0.40544844,0.93839943,0.38201573
2015-09-17,-1.1949062,-1.3610673,-0.22912517,1.4449947,1.6233561,-0.37297988,0.43143797,0.40544844,0.93839943
2015-09-18,-0.29283082,-1.1949062,-1.3610673,-0.05049622,1.4449947,1.6233561,0.7087861,0.43143797,0.40544844
2015-09-19,-0.56920165,-0.29283082,-1.1949062,0.18962027,-0.05049622,1.4449947,0.8542825,0.7087861,0.43143797
2015-09-20,0.16638537,-0.56920165,-0.29283082,-0.61768377,0.18962027,-0.05049622,0.7370098,0.8542825,0.7087861
2015-09-21,0.07592094,0.16638537,-0.56920165,-0.9939304,-0.61768377,0.18962027,1.019414,0.7370098,0.8542825
2015-09-22,-1.1664209,0.07592094,0.16638537,0.56966585,-0.9939304,-0.61768377,1.3460207,1.019414,0.7370098
2015-09-23,-1.1394591,-1.1664209,0.07592094,1.463213,0.56966585,-0.9939304,0.1684043,1.3460207,1.019414
2015-09-24,-1.0485059,-1.1394591,-1.1664209,0.7025192,1.463213,0.56966585,1.1008695,0.1684043,1.3460207
2015-09-25,-0.39621976,-1.0485059,-1.1394591,0.26550144,0.7025192,1.463213,0.6598949,1.1008695,0.1684043
2015-09-26,-0.645232,-0.39621976,-1.0485059,-0.08228989,0.26550144,0.7025192,1.2758774,0.6598949,1.1008695
2015-09-27,-0.17204876,-0.645232,-0.39621976,0.14816774,-0.08228989,0.26550144,0.3409474,1.2758774,0.6598949
2015-09-28,-0.27350473,-0.17204876,-0.645232,0.28227267,0.14816774,-0.08228989,0.2976603,0.3409474,1.2758774
2015-09-29,-0.5220191,-0.27350473,-0.17204876,0.054810412,0.28227267,0.14816774,1.0439589,0.2976603,0.3409474
2015-09-30,-0.81547594,-0.5220191,-0.27350473,0.5496652,0.054810412,0.28227267,0.8819022,1.0439589,0.2976603
2015-10-01,-0.7367914,-0.81547594,-0.5220191,0.7092186,0.5496652,0.054810412,0.7619122,0.8819022,1.0439589
2015-10-02,-1.048226,-0.7367914,-0.81547594,0.79950714,0.7092186,0.5496652,1.1076741,0.7619122,0.8819022
2015-10-03,-1.153425,-1.048226,-0.7367914,1.005548,0.79950714,0.7092186,0.8764147,1.1076741,0.7619122
2015-10-04,-1.4117175,-1.153425,-1.048226,1.2390511,1.005548,0.79950714,0.9650404,0.8764147,1.1076741
2015-10-05,-1.4450836,-1.4117175,-1.153425,2.2617013,1.2390511,1.005548,-0.23045233,0.9650404,0.8764147
2015-10-06,-0.83506644,-1.4450836,-1.4117175,0.7993815,2.2617013,1.2390511,0.66317564,-0.23045233,0.9650404
2015-10-07,-0.46680123,-0.83506644,-1.4450836,-0.09111076,0.7993815,2.2617013,1.0121676,0.66317564,-0.23045233
2015-10-08,-0.54190826,-0.46680123,-0.83506644,0.081317075,-0.09111076,0.7993815,0.97901964,1.0121676,0.66317564
2015-10-09,-0.49755695,-0.54190826,-0.46680123,0.98146564,0.081317075,-0.09111076,-0.12396095,0.97901964,1.0121676
2015-10-10,-0.6947971,-0.49755695,-0.54190826,0.26730856,0.98146564,0.081317075,1.0323,-0.12396095,0.97901964
2015-10-11,-0.7560208,-0.6947971,-0.49755695,0.51892245,0.26730856,0.98146564,0.9062549,1.0323,-0.12396095
2015-10-12,-1.4126194,-0.7560208,-0.6947971,0.94973934,0.51892245,0.26730856,1.4059169,0.9062549,1.0323
2015-10-13,-0.47591132,-1.4126194,-0.7560208,0.46117753,0.94973934,0.51892245,0.5339863,1.4059169,0.9062549
2015-10-14,-1.2360363,-0.47591132,-1.4126194,0.6149491,0.46117753,0.94973934,1.4282016,0.5339863,1.4059169
2015-10-15,-0.8757699,-1.2360363,-0.47591132,0.5077086,0.6149491,0.46117753,0.9836343,1.4282016,0.5339863
2015-10-16,-0.54549724,-0.8757699,-1.2360363,0.5532812,0.5077086,0.6149491,0.5703889,0.9836343,1.4282016
2015-10-17,-1.089856,-0.54549724,-0.8757699,1.1487231,0.5532812,0.5077086,0.8251723,0.5703889,0.9836343
2015-10-18,-0.5306163,-1.089856,-0.54549724,-0.6361628,1.1487231,0.5532812,1.8155569,0.8251723,0.5703889
2015-10-19,-0.66371703,-0.5306163,-1.089856,-0.6797219,-0.6361628,1.1487231,1.7709032,1.8155569,0.8251723
2015-10-20,-0.7808156,-0.66371703,-0.5306163,0.028168757,-0.6797219,-0.6361628,1.3801684,1.7709032,1.8155569
2015-10-21,-0.5873873,-0.7808156,-0.66371703,0.39557675,0.028168757,-0.6797219,0.75654763,1.3801684,1.7709032
2015-10-22,-0.32422423,-0.5873873,-0.7808156,-0.08058791,0.39557675,0.028168757,0.87596023,0.75654763,1.3801684
2015-10-23,-0.99794155,-0.32422423,-0.5873873,0.69033635,-0.08058791,0.39557675,1.0656255,0.87596023,0.75654763
2015-10-24,-0.838143,-0.99794155,-0.32422423,0.9671877,0.69033635,-0.08058791,0.43311182,1.0656255,0.87596023
2015-10-25,-0.91276556,-0.838143,-0.99794155,1.134154,0.9671877,0.69033635,0.5111879,0.43311182,1.0656255
2015-10-26,-0.2917402,-0.91276556,-0.838143,0.1780371,1.134154,0.9671877,0.41739252,0.5111879,0.43311182
2015-10-27,-0.9424111,-0.2917402,-0.91276556,1.0195483,0.1780371,1.134154,0.580231,0.41739252,0.5111879
2015-10-28,-1.1636388,-0.9424111,-0.2917402,1.2356677,1.0195483,0.1780371,0.7308149,0.580231,0.41739252
2015-10-29,-0.77776915,-1.1636388,-0.9424111,0.35257044,1.2356677,1.0195483,1.2465713,0.7308149,0.580231
2015-10-30,-0.5834182,-0.77776915,-1.1636388,0.506921,0.35257044,1.2356677,0.7353781,1.2465713,0.7308149
2015-10-31,-1.031608,-0.5834182,-0.77776915,0.81744146,0.506921,0.35257044,1.062112,0.7353781,1.2465713
2015-11-01,-0.9928318,-1.031608,-0.5834182,0.23730676,0.81744146,0.506921,1.4033674,1.062112,0.7353781
2015-11-02,-0.33700514,-0.9928318,-1.031608,-0.07633893,0.23730676,0.81744146,0.9607822,1.4033674,1.062112
2015-11-03,-0.510315,-0.33700514,-0.9928318,-0.03592384,-0.07633893,0.23730676,0.99233556,0.9607822,1.4033674
2015-11-04,-1.1313837,-0.510315,-0.33700514,0.8608655,-0.03592384,-0.07633893,0.97219986,0.99233556,0.9607822
2015-11-05,-0.4868419,-1.1313837,-0.510315,0.21613638,0.8608655,-0.03592384,0.7673,0.97219986,0.99233556
2015-11-06,-0.8338724,-0.4868419,-1.1313837,0.032751955,0.21613638,0.8608655,1.5870196,0.7673,0.97219986
2015-11-07,-0.524414,-0.8338724,-0.4868419,0.7091966,0.032751955,0.21613638,0.27943993,1.5870196,0.7673
2015-11-08,-0.87357366,-0.524414,-0.8338724,0.3951599,0.7091966,0.032751955,1.1846647,0.27943993,1.5870196
2015-11-09,-0.9670128,-0.87357366,-0.524414,0.36389714,0.3951599,0.7091966,1.1509843,1.1846647,0.27943993
2015-11-10,-0.68772906,-0.9670128,-0.87357366,0.3959381,0.36389714,0.3951599,0.834262,1.1509843,1.1846647
2015-11-11,-0.85537744,-0.68772906,-0.9670128,0.3200176,0.3959381,0.36389714,1.2826692,0.834262,1.1509843
